state,sales,quantity,discount,profit,order_year,order_quarter,shipping_duration,profit_status,profit_margin,delivery_status,ship_mode_Same Day,ship_mode_Second Class,ship_mode_Standard Class,segment_Corporate,segment_Home Office,region_East,region_South,region_West,category_Office Supplies,category_Technology,subcategory_Appliances,subcategory_Art,subcategory_Binders,subcategory_Bookcases,subcategory_Chairs,subcategory_Copiers,subcategory_Envelopes,subcategory_Fasteners,subcategory_Furnishings,subcategory_Labels,subcategory_Machines,subcategory_Paper,subcategory_Phones,subcategory_Storage,subcategory_Supplies,subcategory_Tables,order_month_August,order_month_December,order_month_February,order_month_January,order_month_July,order_month_June,order_month_March,order_month_May,order_month_November,order_month_October,order_month_September,order_size_category_Medium,order_size_category_Small,transaction_value_segment_Low,transaction_value_segment_Medium,transaction_value_segment_Premium,discount_risk_tier_Low Discount,discount_risk_tier_Medium Discount,discount_risk_tier_No Discount
Kentucky,0.7209372648355556,-0.8043696755165116,-0.7565542982020771,0.8765135215573503,2016,4,-0.5482885008887954,1,0.08499114094467534,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
Kentucky,2.1248017789602343,-0.35493908186616213,-0.7565542982020771,1.8567126979935646,2016,4,-0.5482885008887954,1,0.38493662104696563,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
California,-0.7443615026185436,-0.8043696755165116,-0.7565542982020771,-0.3120143135048161,2016,2,0.023935727767260166,1,0.7491561325997468,1,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
Florida,2.1248017789602343,0.5439221054345367,1.4231823709654667,-1.8922059961834958,2015,4,1.740608413735427,0,-1.1147907794644862,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
Florida,-0.6984605773729936,-0.8043696755165116,0.2122175547612757,-0.45972303960351246,2015,4,1.740608413735427,1,-0.016776075518601823,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False
California,-0.5415159062830203,1.4427832927352355,-0.7565542982020771,-0.06448772726640394,2014,2,0.5961599564233158,1,0.363511943896802,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
California,-0.7878453424871985,0.09449151178418727,-0.7565542982020771,-0.47840454737278043,2014,2,0.5961599564233158,1,0.32066258959647487,1,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
California,2.1248017789602343,0.9933526990848861,0.2122175547612757,1.8567126979935646,2014,2,0.5961599564233158,1,-0.043556921956306324,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
California,-0.7213517977071192,-0.35493908186616213,0.2122175547612757,-0.34894658258607236,2014,2,0.5961599564233158,1,0.4117174674846701,1,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
California,-0.15027983204242537,0.5439221054345367,-0.7565542982020771,0.6240486137299666,2014,2,0.5961599564233158,1,0.38493662104696563,1,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
California,2.1248017789602343,2.341644480035934,0.2122175547612757,1.8567126979935646,2014,2,0.5961599564233158,1,-0.15068030770712432,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
California,2.1248017789602343,0.09449151178418727,0.2122175547612757,1.7733886962928374,2014,2,0.5961599564233158,1,-0.0971186148317153,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
North Carolina,-0.7388401213164203,-0.35493908186616213,0.2122175547612757,-0.3604546355746573,2017,2,0.5961599564233158,1,0.49206000679778367,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
Washington,1.5859694667785402,-0.35493908186616213,0.2122175547612757,1.8567126979935646,2016,4,0.5961599564233158,1,0.4384983139223745,1,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
Texas,-0.42332754042748016,0.5439221054345367,3.1185331136513343,-1.8922059961834958,2015,4,0.023935727767260166,0,-4.11424558048739,1,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
Texas,-0.8159024903915513,-0.35493908186616213,3.1185331136513343,-0.6744993282711093,2015,4,0.023935727767260166,0,-3.4715052659824823,1,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
Wisconsin,2.1248017789602343,0.9933526990848861,-0.7565542982020771,-0.09337826524364144,2014,4,1.740608413735427,1,-0.2149543391576151,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
